 ,Label,Area,X,Y,Perim.,Circ.,AR,Round,Solidity
1,SEPTIN8PROCESSING1.jpg:1,35.92,82.13,23.01,55.26,0.15,2.48,0.40,0.52
2,SEPTIN8PROCESSING1.jpg:1,12.00,74.20,27.38,23.88,0.26,3.35,0.30,0.55
3,SEPTIN8PROCESSING1.jpg:1,14.44,77.96,35.38,24.54,0.30,2.06,0.48,0.66
4,SEPTIN8PROCESSING1.jpg:1,18.64,85.60,36.15,26.90,0.32,2.86,0.35,0.60
5,SEPTIN8PROCESSING1.jpg:1,9.32,89.73,25.08,15.33,0.50,2.27,0.44,0.74
6,SEPTIN8PROCESSING1.jpg:1,11.44,86.26,29.53,18.80,0.41,2.38,0.42,0.70
7,SEPTIN8PROCESSING1.jpg:1,4.68,85.58,25.84,9.44,0.66,2.38,0.42,0.86
8,SEPTIN8PROCESSING1.jpg:1,21.36,87.60,61.31,34.70,0.22,1.25,0.80,0.56
9,SEPTIN8PROCESSING1.jpg:1,13.76,95.79,61.52,23.18,0.32,2.51,0.40,0.60
10,SEPTIN8PROCESSING1.jpg:1,23.32,86.33,66.50,39.92,0.18,3.03,0.33,0.52
11,SEPTIN8PROCESSING1.jpg:1,15.24,96.05,70.79,27.51,0.25,1.98,0.51,0.58
12,SEPTIN8PROCESSING1.jpg:1,14.56,70.35,88.06,24.73,0.30,3.46,0.29,0.58
13,SEPTIN8PROCESSING1.jpg:1,9.32,62.08,91.85,13.57,0.64,2.80,0.36,0.86
14,SEPTIN8PROCESSING1.jpg:1,9.40,62.36,98.76,20.00,0.30,2.95,0.34,0.56
15,SEPTIN8PROCESSING1.jpg:1,21.88,67.58,78.05,39.69,0.17,3.94,0.25,0.47
16,SEPTIN8PROCESSING1.jpg:1,16.72,62.37,66.78,26.21,0.31,1.64,0.61,0.66
17,SEPTIN8PROCESSING1.jpg:1,6.92,45.54,71.86,11.75,0.63,1.71,0.58,0.79
18,SEPTIN8PROCESSING1.jpg:1,28.04,40.44,73.26,37.48,0.25,3.65,0.27,0.55
19,SEPTIN8PROCESSING1.jpg:1,16.00,35.80,52.30,44.02,0.10,5.48,0.18,0.27
20,SEPTIN8PROCESSING1.jpg:1,9.44,23.45,52.21,25.88,0.18,3.34,0.30,0.37
21,SEPTIN8PROCESSING1.jpg:1,20.68,24.24,93.80,37.14,0.19,2.49,0.40,0.45
22,SEPTIN8PROCESSING1.jpg:1,14.68,30.50,100.34,25.14,0.29,2.00,0.50,0.63
23,SEPTIN8PROCESSING1.jpg:1,10.40,31.06,94.67,15.78,0.52,2.65,0.38,0.76
24,SEPTIN8PROCESSING1.jpg:1,33.64,39.88,27.69,55.23,0.14,1.27,0.79,0.48
25,SEPTIN8PROCESSING1.jpg:1,17.68,32.67,29.98,31.00,0.23,1.43,0.70,0.52
26,SEPTIN8PROCESSING1.jpg:1,53.04,6.20,41.64,83.26,0.10,1.20,0.84,0.43
27,SEPTIN8PROCESSING1.jpg:1,18.20,14.01,30.67,27.60,0.30,1.76,0.57,0.60
28,SEPTIN8PROCESSING1.jpg:1,20.84,11.92,22.72,30.88,0.27,2.87,0.35,0.54
29,SEPTIN8PROCESSING1.jpg:1,12.80,6.20,29.42,22.09,0.33,2.11,0.47,0.65
30,SEPTIN8PROCESSING1.jpg:1,61.16,38.21,15.05,77.09,0.13,2.14,0.47,0.56
31,SEPTIN8PROCESSING1.jpg:1,21.36,29.65,9.84,36.04,0.21,1.83,0.55,0.62
32,SEPTIN8PROCESSING1.jpg:1,8.96,24.36,15.22,14.65,0.52,2.91,0.34,0.83
33,SEPTIN8PROCESSING1.jpg:1,20.84,11.92,22.72,30.88,0.27,2.87,0.35,0.54
34,SEPTIN8PROCESSING1.jpg:1,12.80,6.20,29.42,22.09,0.33,2.11,0.47,0.65
35,SEPTIN8PROCESSING1.jpg:1,10.08,2.67,20.81,20.68,0.30,2.04,0.49,0.71
36,SEPTIN8PROCESSING1.jpg:1,9.96,27.37,4.76,16.07,0.48,2.70,0.37,0.73
37,SEPTIN8PROCESSING1.jpg:1,10.32,67.96,112.54,18.07,0.40,3.36,0.30,0.68
38,SEPTIN8PROCESSING1.jpg:1,24.20,101.76,110.88,36.46,0.23,4.96,0.20,0.59
39,SEPTIN8PROCESSING1.jpg:1,13.24,99.46,94.24,20.37,0.40,4.11,0.24,0.75
40,SEPTIN8PROCESSING1.jpg:1,13.92,97.51,98.80,26.71,0.25,1.54,0.65,0.49
41,SEPTIN8PROCESSING1.jpg:1,17.24,94.08,105.16,27.65,0.28,1.83,0.55,0.59
42,SEPTIN8PROCESSING1.jpg:1,11.32,95.06,114.97,18.82,0.40,2.44,0.41,0.67
43,SEPTIN8PROCESSING1.jpg:1,10.16,17.91,116.13,16.09,0.49,1.57,0.64,0.72
44,SEPTIN8PROCESSING1.jpg:1,7.24,24.39,114.49,11.07,0.74,1.96,0.51,0.89
